"iso3c","year","pop","urban","rural"
"BDI",1990,5483793,335796.77424002,5013248.31188923
"BDI",1991,5594828,354619.659442614,5135051.15796232
"BDI",1992,5743085,370625.891833396,5209462.3360093
"BDI",1993,5555220,409374.966247961,5587864.38700898
"BDI",1994,5586408,433062.533205595,5739129.68762754
"BDI",1995,5932783,432117.608211863,5559243.27587913
"BDI",1996,5930507,456346.818239992,5697204.8089649
"BDI",1997,5923862,480799.856580049,5825313.28380033
"BDI",1998,6035340,496082.076569009,5844338.84420762
"BDI",1999,6180180,513074.861897226,5866325.25266254
"BDI",2000,6307659,535813.36594131,5959908.89805552
"BDI",2001,6465729,562748.608857563,6084782.70586348
"BDI",2002,6648938,593099.980778885,6241236.72081165
"BDI",2003,6860846,627314.328291292,6419077.47237003
"BDI",2004,7120496,661666.265945518,6582368.98103728
"BDI",2005,7388874,699214.521725502,6758069.09144749
"BDI",2006,7658190,739619.936303487,6952226.96224565
"BDI",2007,7944609,782447.191548382,7150947.76848049
"BDI",2008,8278109,824363.631839107,7322055.3148068
"BDI",2009,8709366,858708.773979644,7415500.96757904
"BDI",2010,9126605,896238.086342074,7525326.01115092
"BDI",2011,9455733,943918.467240985,7704363.90283017
"BDI",2012,9795479,992265.615596746,7873432.63152318
"BDI",2013,10149577,1042329.15322481,8037852.21788061
"BDI",2014,10494913,1098072.94257704,8225650.27456635
"BDI",2015,10727148,1171342.83968115,8525512.37290657
"BDI",2016,10903327,1258633.80966195,8899235.98549324
"BDI",2017,11155593,1343928.55673383,9236100.31308959
"BDI",2018,11493472,1426832.03126088,9520346.41925434
"BDI",2019,11874838,1508068.74165357,9776613.71043546
"BDI",2020,12220227,1599461.28660294,10066737.7128101
"BDI",2021,12551213,1696200.99666861,10369376.7287672
"BDI",2022,12889576,1796585.4734089,10667410.6270059
"BDI",2023,13238559,1901379.22110707,10960776.0179941
"BDI",2024,13591657,2011484.54526185,11254829.0469661
"BDI",2025,13948140,2125736.4781254,11547491.6368777
"BDI",2026,14307816,2245472.75419253,11841569.5309473
"BDI",2027,14673012,2370350.13669995,12135118.8835666
"BDI",2028,15043647,2500214.87475743,12426366.7580076
"BDI",2029,15419302,2636636.60002249,12720124.9446959
"BDI",2030,15800530,2779730.80649826,13017739.341655
"BDI",2031,16187388,2930350.77678993,13316315.3931938
"BDI",2032,16580035,3086306.81418948,13615882.3548925
"BDI",2033,16979760,3251324.40034488,13921461.080722
"BDI",2034,17386443,3422703.88486018,14227848.5599383
"BDI",2035,17799740,3603339.0937171,14540568.6824639
"BDI",2036,18217324,3792167.06032126,14857038.7176514
"BDI",2037,18639033,3992164.1857708,15182597.9920739
"BDI",2038,19066058,4201337.8958566,15509972.9582277
"BDI",2039,19496105,4420712.34228581,15844624.1954483
"BDI",2040,19928151,4651458.78310537,16184499.8063292
"BDI",2041,20361593,4893875.73948659,16530037.2127073
"BDI",2042,20794876,5148518.70239572,16882447.77223
"BDI",2043,21227305,5415280.8375816,17238609.5644266
"BDI",2044,21659444,5693953.17811482,17596192.2198926
"BDI",2045,22090717,5986417.28106879,17958210.7271575
"BDI",2046,22521094,6289757.2382585,18319427.5553399
"BDI",2047,22949637,6606747.63613908,18680279.7795887
"BDI",2048,23374034,6938561.14010958,19044405.0864305
"BDI",2049,23793823,7283708.75920192,19407689.2981847
"BDI",2050,24208671,7643891.14958025,19771105.8983783
"COM",1990,431119,109900.05079804,283828.826843633
"COM",1991,442277,115041.026325131,291437.266690332
"COM",1992,452990,119349.21300691,300298.019823837
"COM",1993,463318,124320.660971514,312744.162756465
"COM",1994,473478,127824.312850861,322975.935523931
"COM",1995,483760,132834.463370266,335530.014883413
"COM",1996,494288,136523.646133428,347244.926035024
"COM",1997,505033,141147.212162374,357838.002665172
"COM",1998,515959,144730.492151508,369312.290317642
"COM",1999,526443,149723.711778863,381845.707892402
"COM",2000,536758,153484.438052158,393808.755528562
"COM",2001,547741,158352.213911319,406031.317721332
"COM",2002,559047,161830.758415661,417299.439939755
"COM",2003,570130,166679.529230176,429480.995562416
"COM",2004,581154,171840.854575551,443493.463006363
"COM",2005,592683,175253.887828738,454629.203132197
"COM",2006,604658,181466.21726662,468701.315454356
"COM",2007,616899,186283.330010261,481839.004439949
"COM",2008,629470,191003.542662875,494730.487553021
"COM",2009,642493,196926.659123134,508028.881248512
"COM",2010,656024,202995.622111386,522740.021706523
"COM",2011,670071,208616.698827438,535238.803052214
"COM",2012,684553,215755.390744033,549964.721504398
"COM",2013,699393,221433.442999858,563648.76399964
"COM",2014,714612,228354.687578714,577790.465315444
"COM",2015,730216,235159.185775168,591622.204936621
"COM",2016,746232,243205.866272151,605881.280888517
"COM",2017,761664,250078.774892866,619853.373666078
"COM",2018,776313,258287.572151954,633394.00473778
"COM",2019,790986,266816.353260361,648751.052483862
"COM",2020,806166,274875.149783047,661856.243007023
"COM",2021,821625,284246.462802373,675490.643541762
"COM",2022,836774,293743.591459582,689376.103942044
"COM",2023,852075,303205.703723264,703132.940175454
"COM",2024,867605,314023.086542839,717455.524115237
"COM",2025,883075,323125.442346347,729215.525295133
"COM",2026,898473,333693.945171419,741785.228938432
"COM",2027,913809,345745.117415127,755151.240576532
"COM",2028,929073,357856.702325867,768566.0868414
"COM",2029,944275,369669.852532366,780168.912657859
"COM",2030,959412,381530.562469513,791814.152835278
"COM",2031,974457,394923.531772054,804268.428468367
"COM",2032,989461,408370.820072747,816741.640145493
"COM",2033,1004456,421858.199861418,829208.04893395
"COM",2034,1019412,436516.344716366,840573.781748694
"COM",2035,1034321,450112.682619806,853081.393493896
"COM",2036,1049114,464918.969721117,864546.655558881
"COM",2037,1063780,479821.955667525,876098.441407058
"COM",2038,1078375,494797.264402457,887691.202040107
"COM",2039,1092920,511382.351864729,900032.939281924
"COM",2040,1107417,526490.021374062,911671.032682359
"COM",2041,1121845,542811.172666456,922207.613351221
"COM",2042,1136167,559227.64875234,932810.053451649
"COM",2043,1150372,575745.932620057,943487.845670792
"COM",2044,1164502,593940.585761124,954918.067980991
"COM",2045,1178543,612244.101403173,966396.643991776
"COM",2046,1192453,628608.423141206,975386.870593642
"COM",2047,1206213,646708.334266004,985183.379718176
"COM",2048,1219782,664963.083567392,995111.421549096
"COM",2049,1233111,684573.408233322,1004040.99874221
"COM",2050,1246207,703203.400398168,1014303.40224377
"DJI",1990,577173,457956.280006168,145155.785180526
"DJI",1991,628521,446180.795868396,140035.098270384
"DJI",1992,623197,461844.328518911,145066.487804017
"DJI",1993,611231,476216.029618917,148627.932810999
"DJI",1994,623477,474636.594453364,147886.770482311
"DJI",1995,629619,481291.066502123,149090.164051593
"DJI",1996,644649,489744.031248012,151611.186862929
"DJI",1997,667786,499868.22125651,154414.737655476
"DJI",1998,694920,508835.54941576,156564.784435618
"DJI",1999,719371,520593.685316756,160556.930985542
"DJI",2000,742033,530479.102681417,162332.403006335
"DJI",2001,765490,537189.251329214,164699.734810383
"DJI",2002,789129,540737.952856884,164490.216428493
"DJI",2003,806411,547782.706337091,166593.709659218
