"iso3c","name_1","year","pyrethroid_resistance"
"NGA","Abia",2000,0.0619965212417189
"NGA","Abia",2001,0.0712613668121899
"NGA","Abia",2002,0.0813953145262791
"NGA","Abia",2003,0.093115620753503
"NGA","Abia",2004,0.106624571704706
"NGA","Abia",2005,0.121081571742188
"NGA","Abia",2006,0.137737892573265
"NGA","Abia",2007,0.155721123694559
"NGA","Abia",2008,0.17627664068358
"NGA","Abia",2009,0.198736753671838
"NGA","Abia",2010,0.223349812729388
"NGA","Abia",2011,0.249560807990349
"NGA","Abia",2012,0.27764966807124
"NGA","Abia",2013,0.308160280042896
"NGA","Abia",2014,0.340872984746448
"NGA","Abia",2015,0.375606951618641
"NGA","Abia",2016,0.411393500890891
"NGA","Abia",2017,0.44704454252024
"NGA","Abia",2018,0.483779833250806
"NGA","Abia",2019,0.521111435961853
"NGA","Abia",2020,0.557072604160064
"NGA","Abia",2021,0.593427470112435
"NGA","Abia",2022,0.629209320870388
"NGA","Abia",2023,0.662957763395002
"NGA","Abia",2024,0.693884309290067
"NGA","Abia",2025,0.725711191014237
"NGA","Abia",2026,0.754630844296821
"NGA","Abia",2027,0.781860117967139
"NGA","Abia",2028,0.806411989373359
"NGA","Abia",2029,0.827593838006736
"NGA","Abia",2030,0.847131215174592
"NGA","Abia",2031,0.865500380448799
"NGA","Abia",2032,0.881570774799866
"NGA","Abia",2033,0.89580927095941
"NGA","Abia",2034,0.908391389737539
"NGA","Abia",2035,0.919429819445361
"NGA","Abia",2036,0.929417981468548
"NGA","Abia",2037,0.938259088294705
"NGA","Abia",2038,0.946100862969637
"NGA","Abia",2039,0.953042711426408
"NGA","Abia",2040,0.959006951850753
"NGA","Abia",2041,0.964387424063924
"NGA","Abia",2042,0.968990436495362
"NGA","Abia",2043,0.972989714724534
"NGA","Abia",2044,0.976641239080302
"NGA","Abia",2045,0.979598728657632
"NGA","Abia",2046,0.982173010295929
"NGA","Abia",2047,0.984494170329549
"NGA","Abia",2048,0.986585653734423
"NGA","Abia",2049,0.988365023419168
"NGA","Abia",2050,0.989892676956632
"NGA","Akwa Ibom",2000,0.0243409237645351
"NGA","Akwa Ibom",2001,0.0281996826428815
"NGA","Akwa Ibom",2002,0.032681442326007
"NGA","Akwa Ibom",2003,0.0377776661987792
"NGA","Akwa Ibom",2004,0.0435659052247508
"NGA","Akwa Ibom",2005,0.0502699098088132
"NGA","Akwa Ibom",2006,0.0578571519543277
"NGA","Akwa Ibom",2007,0.0666325949276978
"NGA","Akwa Ibom",2008,0.0764371380968717
"NGA","Akwa Ibom",2009,0.0874612235883067
"NGA","Akwa Ibom",2010,0.100013130773713
"NGA","Akwa Ibom",2011,0.114185223505301
"NGA","Akwa Ibom",2012,0.130050284601548
"NGA","Akwa Ibom",2013,0.147863993792815
