"species","blood_meal_rates","foraging_time","Q0","phi_bednets","phi_indoors","mum"
"arabiensis",0.333333333333333,0.69,0.71,0.8,0.86,0.132
"gambiae",0.333333333333333,0.69,0.92,0.85,0.9,0.132
"funestus",0.333333333333333,0.69,0.94,0.78,0.87,0.112
"aconitus",0.333333333333333,0.69,0.118997912317328,0.63716123269899,0.274285714285714,0.132
"annularis",0.333333333333333,0.69,0.03635,0.556451612903226,0.49,0.132
"anthropophagus",0.333333333333333,0.69,0.6429,0.5,0.36231884057971,0.132
"argyropus",0.333333333333333,0.69,1,0.5,0.36231884057971,0.132
"baimaii",0.333333333333333,0.69,0.8,0.5,0.202380952380952,0.132
"balabacensis",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
"barbirostris",0.333333333333333,0.69,0.235169491525424,0.563495000635882,0.455964508708511,0.132
"barbumbrosus",0.333333333333333,0.69,0.52,0.5,0.36231884057971,0.132
"cracens",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
"culicifacies",0.333333333333333,0.69,0.0365,0.198520345252774,0.36231884057971,0.132
"d'thali",0.333333333333333,0.69,0.24,0.375000000000001,0.36231884057971,0.132
"dirus",0.333333333333333,0.69,0.859,0.75,0.35625,0.132
"epiroticus",0.333333333333333,0.69,0.203451178451178,0.5,0.21,0.132
"farauti",0.333333333333333,0.69,0.7168,0.5,0.36231884057971,0.132
"flavirostris",0.333333333333333,0.69,0.203451178451178,0.600550964187328,0.36231884057971,0.132
"fluviatilis",0.333333333333333,0.69,0.868,0.345771144278607,0.36231884057971,0.132
"gigas",0.333333333333333,0.69,1,0.5,0.36231884057971,0.132
"harrisoni",0.333333333333333,0.69,0.0703666997026759,0.5,0.36231884057971,0.132
"hinesorum",0.333333333333333,0.69,0.111111111111111,0.5,0.36231884057971,0.132
"hyrcanus",0.333333333333333,0.69,0.178571428571429,0.5,0.36231884057971,0.132
"indefinitus",0.333333333333333,0.69,0.0267857142857143,0.411764705882353,0.36231884057971,0.132
"insulaeflorum",0.333333333333333,0.69,0.0588235294117647,0.5,0.36231884057971,0.132
"jamesii",0.333333333333333,0.69,0.25,0.5,0.36231884057971,0.132
"karwari",0.333333333333333,0.69,0.484394506866417,0.5,0.36231884057971,0.132
"kochi",0.333333333333333,0.69,0.0813172043010753,0.245807877596368,0.611111111111111,0.132
"koliensis",0.333333333333333,0.69,0.8286,0.5,0.36231884057971,0.132
"latens",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
"leucosphyrus",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
"maculatus",0.333333333333333,0.69,0.2667,0.522494623655914,0.247213632263884,0.132
"minimus",0.333333333333333,0.69,0.407337380191693,0.367567567567568,0.442806304016268,0.132
"nigerrimus",0.333333333333333,0.69,0.143,0.5,0.36231884057971,0.132
"nivipes",0.333333333333333,0.69,0.0468944732048701,0.5,0.5,0.132
"pallidus",0.333333333333333,0.69,0.3333,0.5,0.36231884057971,0.132
"pampanai",0.333333333333333,0.69,0.0476190476190476,0.5,0.225548902195609,0.132
"peditaeniatus",0.333333333333333,0.69,0.0641,0.644859813084111,0.389495798319328,0.132
"philippinensis",0.333333333333333,0.69,0.223102380952381,0.666666666666667,0.36231884057971,0.132
"pseudojamesi",0.333333333333333,0.69,0.04,0.5,0.36231884057971,0.132
"pulcherrimus",0.333333333333333,0.69,0.0300546448087432,0.5,0.36231884057971,0.132
"punctulatus",0.333333333333333,0.69,0.95,0.5,0.36231884057971,0.132
"sawadwongporni",0.333333333333333,0.69,0.203451178451178,0.777777777777777,0.166666666666667,0.132
"sinensis",0.333333333333333,0.69,0.121,0.75,0.284090909090909,0.132
"splendidus",0.333333333333333,0.69,0.149081007488087,0.5,0.363372093023256,0.132
"stephensi",0.333333333333333,0.69,0.2131,0.574257425742575,0.36231884057971,0.132
"subpictus",0.333333333333333,0.69,0.134,0.323529411764706,0.237085137085137,0.132
"sundaicus",0.333333333333333,0.69,0.267,0.448275862068966,0.36231884057971,0.132
"superpictus",0.333333333333333,0.69,0.2708,0.666666666666666,0.36231884057971,0.132
"tessellatus",0.333333333333333,0.69,0.416666666666667,0.490445859872611,0.6,0.132
"umbrosus",0.333333333333333,0.69,0.0455,0.5,0.36231884057971,0.132
"vagus",0.333333333333333,0.69,0.0386659255141745,0.266960895972322,0.285714285714286,0.132
"vanus",0.333333333333333,0.69,0.05,0.5,0.36231884057971,0.132
"varuna",0.333333333333333,0.69,0.0412565632458234,0.25,0.5,0.132
"parangensis",0.333333333333333,0.69,0.203451178451178,0.5,0.40343347639485,0.132
"aitkenii",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
"jeyporiensis",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
"turkhudi",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
"vargus",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
"willmori",0.333333333333333,0.69,0.203451178451178,0.5,0.36231884057971,0.132
